2084-01-01	二零八三 癸卯[兔]年 冬月大廿四	周六	元旦节	无	无	癸卯 甲子 己卯 己巳	无	小寒 (1, 5)	兔	摩羯座	诸事不宜	诸事不宜
2084-01-12	二零八三 癸卯[兔]年 腊月小初五	周三	无	无	无	癸卯 乙丑 庚寅 辛巳	无	大寒 (1, 20)	兔	摩羯座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、修宫室、立券交易、祈福	祭祀、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、筑堤防、布政事、补垣、取鱼、修饰垣墙、鼓铸、塞穴、乘船渡水
2084-01-13	二零八三 癸卯[兔]年 腊月小初六	周四	无	无	无	癸卯 乙丑 辛卯 癸巳	无	大寒 (1, 20)	兔	摩羯座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
2084-01-14	二零八三 癸卯[兔]年 腊月小初七	周五	无	无	无	癸卯 乙丑 壬辰 乙巳	无	大寒 (1, 20)	兔	摩羯座	诸事不宜	诸事不宜
2084-01-15	二零八三 癸卯[兔]年 腊月小初八	周六	无	腊八节-释迦如来成佛之辰	无	癸卯 乙丑 癸巳 丁巳	无	大寒 (1, 20)	兔	摩羯座	结婚姻、宴会、修造、冠带、竖柱上梁、经络、安碓硙、庆赐、临政、搬移、裁制、纳采、赴任、入宅、纳畜、酝酿、缮城郭、修宫室	出行、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、补垣、开仓、鼓铸、解除、乘船渡水、出师、选将、安抚边境、取鱼、上册、塞穴
2084-01-16	二零八三 癸卯[兔]年 腊月小初九	周日	无	无	无	癸卯 乙丑 甲午 己巳	无	大寒 (1, 20)	兔	摩羯座	祭祀、沐浴、剃头、捕捉、畋猎、裁制、赴任、整容、整手足甲、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、解除、纳畜、出师、乘船渡水、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、取鱼、上册、苫盖、修宫室、立券交易、祈福
2084-01-17	二零八三 癸卯[兔]年 腊月小初十	周一	无	无	无	癸卯 乙丑 乙未 辛巳	无	大寒 (1, 20)	兔	摩羯座	解除、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、畋猎、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲
2084-01-18	二零八三 癸卯[兔]年 腊月小十一	周二	无	无	无	癸卯 乙丑 丙申 癸巳	无	大寒 (1, 20)	兔	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、开仓、纳畜、整容、选将、酝酿、安抚边境、整手足甲	结婚姻、宴会、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、庆赐、补垣、纳采、修仓库、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室
2084-01-19	二零八三 癸卯[兔]年 腊月小十二	周三	无	无	无	癸卯 乙丑 丁酉 乙巳	无	大寒 (1, 20)	兔	摩羯座	沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、临政、裁制、解除、举正直、酝酿、施恩、上册、整手足甲	宴会、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、营建、选将、补垣、修饰垣墙、苫盖、出师
2084-01-20	二零八三 癸卯[兔]年 腊月小十三	周四	无	无	无	癸卯 乙丑 戊戌 丁巳	大寒	立春 (2, 4)	兔	水瓶座	祭祀、捕捉、畋猎、入宅	出行、结婚姻、宴会、安床、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、立券交易、修仓库、鼓铸、颁诏、解除、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲
2084-01-21	二零八三 癸卯[兔]年 腊月小十四	周五	无	无	列宁逝世纪念日	癸卯 乙丑 己亥 己巳	无	立春 (2, 4)	兔	水瓶座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2084-01-22	二零八三 癸卯[兔]年 腊月小十五	周六	无	无	无	癸卯 乙丑 庚子 辛巳	无	立春 (2, 4)	兔	水瓶座	祭祀、沐浴、安葬、裁制、恤孤茕、覃恩、酝酿、雪冤、塞穴	安床、剃头、冠带、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、开仓、布政事、整容、针刺、取鱼、修饰垣墙、远回、修宫室、整手足甲、疗目
2084-01-23	二零八三 癸卯[兔]年 腊月小十六	周日	无	南岳大帝诞	无	癸卯 乙丑 辛丑 癸巳	无	立春 (2, 4)	兔	水瓶座	祭祀、宴会、经络、纳财、牧养、庆赐、裁制、纳畜、举正直、施恩、立券交易	剃头、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、安葬、启攒、补垣、颁诏、整容、筑堤防、营建、取鱼、修饰垣墙、宣政事、上册、整手足甲
2084-01-24	二零八三 癸卯[兔]年 腊月小十七	周一	无	无	无	癸卯 乙丑 壬寅 乙巳	无	立春 (2, 4)	兔	水瓶座	沐浴、扫舍宇	祭祀、上表章、开渠、穿井、启攒、补垣、颁诏、招贤、布政事、筑堤防、营建、宣政事、上册、塞穴
2084-01-25	二零八三 癸卯[兔]年 腊月小十八	周二	无	无	无	癸卯 乙丑 癸卯 丁巳	无	立春 (2, 4)	兔	水瓶座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、入宅、纳畜、出师、选将、缮城郭、安抚边境、塞穴、上册、修宫室、祈福	祭祀、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、临政、鼓铸、颁诏、解除、招贤、布政事、整容、筑堤防、举正直、求嗣、营建、施恩、修饰垣墙、宣政事、整手足甲
2084-01-26	二零八三 癸卯[兔]年 腊月小十九	周三	无	无	国际海关日	癸卯 乙丑 甲辰 己巳	无	立春 (2, 4)	兔	水瓶座	诸事不宜	诸事不宜
2084-01-27	二零八三 癸卯[兔]年 腊月小二十	周四	无	无	无	癸卯 乙丑 乙巳 辛巳	无	立春 (2, 4)	兔	水瓶座	祭祀、结婚姻、宴会、上官、冠带、竖柱上梁、经络、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、祈福	出行、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、筑堤防、补垣、取鱼、修饰垣墙、鼓铸、塞穴、乘船渡水
2084-01-28	二零八三 癸卯[兔]年 腊月小廿一	周五	无	天猷上帝诞	无	癸卯 乙丑 丙午 癸巳	无	立春 (2, 4)	兔	水瓶座	沐浴、剃头、捕捉、畋猎、整容、赴任、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、苫盖、塞穴、整手足甲、修宫室、立券交易、祈福
2084-01-29	二零八三 癸卯[兔]年 腊月小廿二	周六	无	无	无	癸卯 乙丑 丁未 乙巳	无	立春 (2, 4)	兔	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
2084-01-30	二零八三 癸卯[兔]年 腊月小廿三	周日	无	小年	无	癸卯 乙丑 戊申 丁巳	无	立春 (2, 4)	兔	水瓶座	祭祀、嫁娶、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、搬移、开仓、入宅、纳畜、整容、选将、酝酿、安抚边境	出行、结婚姻、宴会、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、庆赐、补垣、修仓库、乘船渡水、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室
2084-01-31	二零八三 癸卯[兔]年 腊月小廿四	周一	无	子时灶君上天朝玉帝	无	癸卯 乙丑 己酉 己巳	无	立春 (2, 4)	兔	水瓶座	沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、临政、裁制、恤孤茕、解除、布政事、整容、举正直、酝酿、覃恩、雪冤、施恩、上册、整手足甲	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、营建、选将、补垣、修饰垣墙、苫盖、出师
