2076-05-01	二零七六 丙申[猴]年 三月小廿八	周五	国际劳动节	苍颉至圣先师诞	无	丙申 壬辰 戊戌 丁巳	无	立夏 (5, 4)	猴	金牛座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、乘船渡水、庆赐、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、缮城郭、立券交易、取鱼
2076-05-12	二零七六 丙申[猴]年 四月大初十	周二	无	无	无	丙申 癸巳 己酉 己巳	无	小满 (5, 20)	猴	金牛座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、布政事、求嗣、酝酿、裁制、整容、覃恩、修宫室、施恩、搬移、雪冤、祈福、缮城郭	宴会、上表章、修置产室、上册、苫盖
2076-05-13	二零七六 丙申[猴]年 四月大十一	周三	无	无	无	丙申 癸巳 庚戌 辛巳	无	小满 (5, 20)	猴	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	经络、畋猎、取鱼、开仓
2076-05-14	二零七六 丙申[猴]年 四月大十二	周四	无	无	无	丙申 癸巳 辛亥 癸巳	无	小满 (5, 20)	猴	金牛座	沐浴、破屋坏垣、恤孤茕、解除、赴任、入宅、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2076-05-15	二零七六 丙申[猴]年 四月大十三	周五	无	无	无	丙申 癸巳 壬子 乙巳	无	小满 (5, 20)	猴	金牛座	沐浴、覃恩、雪冤、恤孤茕	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、纳畜、纳采、鼓铸、举正直、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易
2076-05-16	二零七六 丙申[猴]年 四月大十四	周六	无	纯阳祖师诞	无	丙申 癸巳 癸丑 丁巳	无	小满 (5, 20)	猴	金牛座	宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、举正直、临政、恤孤茕、布政事、修仓库、上册、酝酿、裁制、庆赐、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭、立券交易	冠带、选将、取鱼、出师、远回、乘船渡水
2076-05-17	二零七六 丙申[猴]年 四月大十五	周日	无	钟离祖师诞	无	丙申 癸巳 甲寅 己巳	无	小满 (5, 20)	猴	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2076-05-18	二零七六 丙申[猴]年 四月大十六	周一	无	无	无	丙申 癸巳 乙卯 辛巳	无	小满 (5, 20)	猴	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、修饰垣墙、塞穴、开仓、入宅、布政事、筑堤防、整容
2076-05-19	二零七六 丙申[猴]年 四月大十七	周二	无	十殿转轮王诞	无	丙申 癸巳 丙辰 癸巳	无	小满 (5, 20)	猴	金牛座	祭祀、恤孤茕、入宅、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
2076-05-20	二零七六 丙申[猴]年 四月大十八	周三	无	紫徽大帝诞	无	丙申 癸巳 丁巳 乙巳	小满	芒种 (6, 5)	猴	金牛座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
2076-05-21	二零七六 丙申[猴]年 四月大十九	周四	无	无	无	丙申 癸巳 戊午 丁巳	无	芒种 (6, 5)	猴	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、裁制、庆赐、整容	嫁娶、上表章、冠带、修置产室、纳畜、营建、上册、取鱼、乘船渡水、招贤、筑堤防、修仓库、苫盖
2076-05-22	二零七六 丙申[猴]年 四月大二十	周五	无	眼光圣母诞	无	丙申 癸巳 己未 己巳	无	芒种 (6, 5)	猴	双子座	诸事不宜	祭祀、嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、纳畜、鼓铸、整手足甲、布政事、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、招贤、远回、出师、取鱼
2076-05-23	二零七六 丙申[猴]年 四月大廿一	周六	无	无	世界读书日	丙申 癸巳 庚申 辛巳	无	芒种 (6, 5)	猴	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、针刺、补垣、鼓铸、修宫室、取鱼、塞穴、布政事、筑堤防
2076-05-24	二零七六 丙申[猴]年 四月大廿二	周日	无	无	无	丙申 癸巳 辛酉 癸巳	无	芒种 (6, 5)	猴	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、求嗣、赴任、颁诏、裁制、入宅、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	宴会、修置产室、畋猎、取鱼、开仓、苫盖
2076-05-25	二零七六 丙申[猴]年 四月大廿三	周一	无	无	无	丙申 癸巳 壬戌 乙巳	无	芒种 (6, 5)	猴	双子座	沐浴、剃头、上表章、捕捉、整容、解除	出行、嫁娶、开渠、穿井、安葬、乘船渡水、开仓、修仓库
2076-05-26	二零七六 丙申[猴]年 四月大廿四	周二	无	无	无	丙申 癸巳 癸亥 丁巳	无	芒种 (6, 5)	猴	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
2076-05-27	二零七六 丙申[猴]年 四月大廿五	周三	无	无	上海解放日	丙申 癸巳 甲子 己巳	无	芒种 (6, 5)	猴	双子座	宴会、沐浴、覃恩、雪冤、庆赐、恤孤茕、布政事	结婚姻、修造、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、纳畜、纳采、举正直、修仓库、求嗣、解除、上册、开仓、筑堤防、营建、施恩、修宫室、招贤、祈福、缮城郭、立券交易
2076-05-28	二零七六 丙申[猴]年 四月大廿六	周四	无	无	无	丙申 癸巳 乙丑 辛巳	无	芒种 (6, 5)	猴	双子座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、远回、取鱼、乘船渡水
2076-05-29	二零七六 丙申[猴]年 四月大廿七	周五	无	无	无	丙申 癸巳 丙寅 癸巳	无	芒种 (6, 5)	猴	双子座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师、诉讼	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、鼓铸、整手足甲、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2076-05-30	二零七六 丙申[猴]年 四月大廿八	周六	无	无	无	丙申 癸巳 丁卯 乙巳	无	芒种 (6, 5)	猴	双子座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、纳采、酝酿、开仓、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
2076-05-31	二零七六 丙申[猴]年 四月大廿九	周日	无	无	世界无烟日	丙申 癸巳 戊辰 丁巳	无	芒种 (6, 5)	猴	双子座	诸事不宜	诸事不宜
