1963-05-11	一九六三 癸卯[兔]年 四月小十八	周六	无	紫徽大帝诞	世界肥胖日	癸卯 丁巳 甲寅 己巳	无	小满 (5, 22)	兔	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1963-05-12	一九六三 癸卯[兔]年 四月小十九	周日	无	无	母亲节	癸卯 丁巳 乙卯 辛巳	无	小满 (5, 22)	兔	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、筑堤防、整容、布政事、补垣、取鱼、鼓铸、修饰垣墙、塞穴、整手足甲、开仓、入宅
1963-05-13	一九六三 癸卯[兔]年 四月小二十	周一	无	眼光圣母诞	无	癸卯 丁巳 丙辰 癸巳	无	小满 (5, 22)	兔	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、取鱼、宣政事、安抚边境、修饰垣墙、上册、塞穴、修宫室、整手足甲、疗目、祈福
1963-05-14	一九六三 癸卯[兔]年 四月小廿一	周二	无	无	无	癸卯 丁巳 丁巳 乙巳	无	小满 (5, 22)	兔	金牛座	宴会、上官、进人口、经络、纳财、庆赐、临政、裁制、颁诏、恤孤茕、纳畜、招贤、举正直、酝酿、覃恩、雪冤、施恩、宣政事、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲、祈福
1963-05-15	一九六三 癸卯[兔]年 四月小廿二	周三	无	无	无	癸卯 丁巳 戊午 丁巳	无	小满 (5, 22)	兔	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、庆赐、裁制、入宅、整容、整手足甲	上表章、冠带、修置产室、招贤、筑堤防、修仓库、营建、取鱼、上册、苫盖、乘船渡水、纳畜
1963-05-16	一九六三 癸卯[兔]年 四月小廿三	周四	无	无	无	癸卯 丁巳 己未 己巳	无	小满 (5, 22)	兔	金牛座	诸事不宜	祭祀、嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、补垣、鼓铸、颁诏、乘船渡水、纳畜、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、取鱼、远回、整手足甲
1963-05-17	一九六三 癸卯[兔]年 四月小廿四	周五	无	无	无	癸卯 丁巳 庚申 辛巳	无	小满 (5, 22)	兔	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、修饰垣墙、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、布政事、筑堤防、补垣、取鱼、鼓铸、塞穴、修宫室、针刺
1963-05-18	一九六三 癸卯[兔]年 四月小廿五	周六	无	无	无	癸卯 丁巳 辛酉 癸巳	无	小满 (5, 22)	兔	金牛座	祭祀、沐浴、剃头、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、临政、裁制、颁诏、恤孤茕、纳畜、招贤、整容、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、整手足甲、祈福	宴会、修置产室、畋猎、取鱼、苫盖、开仓
1963-05-19	一九六三 癸卯[兔]年 四月小廿六	周日	无	无	无	癸卯 丁巳 壬戌 乙巳	无	小满 (5, 22)	兔	金牛座	沐浴、剃头、求医疗病、上表章、捕捉、整容、整手足甲、解除	出行、嫁娶、开渠、穿井、安葬、修仓库、开仓
1963-05-20	一九六三 癸卯[兔]年 四月小廿七	周一	无	无	无	癸卯 丁巳 癸亥 丁巳	无	小满 (5, 22)	兔	金牛座	沐浴、破屋坏垣、赴任、入宅	祭祀、结婚姻、宴会、嫁娶、剃头、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、解除、招贤、布政事、整容、筑堤防、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、取鱼、上册、塞穴、整手足甲、修宫室、祈福
1963-05-21	一九六三 癸卯[兔]年 四月小廿八	周二	无	无	无	癸卯 丁巳 甲子 己巳	无	小满 (5, 22)	兔	双子座	宴会、沐浴、庆赐、布政事、覃恩、恤孤茕、雪冤	结婚姻、修造、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、开仓、纳采、修仓库、解除、纳畜、招贤、筑堤防、举正直、求嗣、营建、缮城郭、施恩、上册、修宫室、立券交易、祈福
1963-05-22	一九六三 癸卯[兔]年 四月小廿九	周三	无	无	无	癸卯 丁巳 乙丑 辛巳	小满	芒种 (6, 6)	兔	双子座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、庆赐、临政、裁制、纳采、修仓库、颁诏、恤孤茕、解除、纳畜、招贤、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、立券交易、祈福	冠带、畋猎、取鱼、远回、乘船渡水
1963-05-23	一九六三 癸卯[兔]年 闰四月小初一	周四	无	八殿都市王诞	世界读书日	癸卯 丁巳 丙寅 癸巳	无	芒种 (6, 6)	兔	双子座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、赴任、颁诏、恤孤茕、纳畜、出师、解除、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、立券交易、祈福、诉讼	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、开仓、鼓铸、筑堤防、整容、取鱼、修饰垣墙、塞穴、修宫室、整手足甲
1963-05-24	一九六三 癸卯[兔]年 闰四月小初二	周五	无	无	无	癸卯 丁巳 丁卯 乙巳	无	芒种 (6, 6)	兔	双子座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、补垣、开仓、纳采、入宅、出师、选将、筑堤防、酝酿、营建、取鱼、安抚边境、塞穴
1963-05-25	一九六三 癸卯[兔]年 闰四月小初三	周六	无	无	无	癸卯 丁巳 戊辰 丁巳	无	芒种 (6, 6)	兔	双子座	祭祀、入宅、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、疗目、祈福
1963-05-26	一九六三 癸卯[兔]年 闰四月小初四	周日	无	文殊菩萨诞	无	癸卯 丁巳 己巳 己巳	无	芒种 (6, 6)	兔	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、选将、举正直、酝酿、覃恩、雪冤、施恩、安抚边境、宣政事、立券交易	出行、剃头、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、安葬、启攒、补垣、整容、筑堤防、营建、修饰垣墙、上册、整手足甲
1963-05-27	一九六三 癸卯[兔]年 闰四月小初五	周一	无	无	上海解放日	癸卯 丁巳 庚午 辛巳	无	芒种 (6, 6)	兔	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、庆赐、裁制、颁诏、恤孤茕、整容、覃恩、雪冤、宣政事、整手足甲	安床、冠带、进人口、经络、开市、纳财、修置产室、畋猎、开仓、乘船渡水、筑堤防、取鱼、苫盖、修宫室、立券交易
1963-05-28	一九六三 癸卯[兔]年 闰四月小初六	周二	无	无	无	癸卯 丁巳 辛未 癸巳	无	芒种 (6, 6)	兔	双子座	覃恩、恤孤茕、雪冤	祭祀、安床、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、补垣、鼓铸、乘船渡水、布政事、整容、筑堤防、酝酿、取鱼、修饰垣墙、远回、整手足甲
1963-05-29	一九六三 癸卯[兔]年 闰四月小初七	周三	无	无	无	癸卯 丁巳 壬申 乙巳	无	芒种 (6, 6)	兔	双子座	祭祀、沐浴、扫舍宇、平治道涂	出行、修造、上表章、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、庆赐、补垣、开张、裁制、纳采、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、上册、塞穴、修宫室
1963-05-30	一九六三 癸卯[兔]年 闰四月小初八	周四	无	释迦牟尼佛诞	无	癸卯 丁巳 癸酉 丁巳	无	芒种 (6, 6)	兔	双子座	沐浴、剃头、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、裁制、赴任、入宅、纳畜、整容、酝酿、缮城郭、修宫室、整手足甲	宴会、上表章、修置产室、上册、苫盖、开仓
1963-05-31	一九六三 癸卯[兔]年 闰四月小初九	周五	无	无	世界无烟日	癸卯 丁巳 甲戌 己巳	无	芒种 (6, 6)	兔	双子座	嫁娶、沐浴、剃头、求医疗病、上表章、捕捉、整容、选将、安抚边境、整手足甲、解除、出师	出行、开仓、修仓库
