1929-04-01	一九二九 己巳[蛇]年 二月大廿二	周一	无	无	国际愚人节	己巳 丁卯 丙子 癸巳	无	清明 (4, 5)	蛇	白羊座	诸事不宜	诸事不宜
1929-04-18	一九二九 己巳[蛇]年 三月小初九	周四	无	无	无	己巳 戊辰 癸巳 丁巳	无	谷雨 (4, 20)	蛇	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、庆赐、补垣、开张、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
1929-04-19	一九二九 己巳[蛇]年 三月小初十	周五	无	无	无	己巳 戊辰 甲午 己巳	无	谷雨 (4, 20)	蛇	白羊座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、入宅、解除、纳畜、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、鼓铸、颁诏、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、苫盖、整手足甲
1929-04-20	一九二九 己巳[蛇]年 三月小十一	周六	无	无	无	己巳 戊辰 乙未 辛巳	谷雨	立夏 (5, 6)	蛇	白羊座	诸事不宜	诸事不宜
1929-04-21	一九二九 己巳[蛇]年 三月小十二	周日	无	无	无	己巳 戊辰 丙申 癸巳	无	立夏 (5, 6)	蛇	金牛座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、选将、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、远回、塞穴、整手足甲、修宫室、祈福
1929-04-22	一九二九 己巳[蛇]年 三月小十三	周一	无	无	列宁诞辰纪念日	己巳 戊辰 丁酉 乙巳	无	立夏 (5, 6)	蛇	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、捕捉、栽种、牧养、安葬、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、整手足甲、立券交易、祈福	宴会、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、筑堤防、修饰垣墙、补垣、取鱼、乘船渡水
1929-04-23	一九二九 己巳[蛇]年 三月小十四	周二	无	无	世界图书和版权日	己巳 戊辰 戊戌 丁巳	无	立夏 (5, 6)	蛇	金牛座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、立券交易
1929-04-24	一九二九 己巳[蛇]年 三月小十五	周三	无	昊天上帝诞	无	己巳 戊辰 己亥 己巳	无	立夏 (5, 6)	蛇	金牛座	安床、沐浴、纳财、牧养、选将、安抚边境、取鱼、赴任、入宅、纳畜、出师、纳采	嫁娶、剃头、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、补垣、开仓、修仓库、解除、整容、筑堤防、求嗣、营建、缮城郭、修饰垣墙、整手足甲、修宫室、祈福
1929-04-25	一九二九 己巳[蛇]年 三月小十六	周四	无	准提菩萨诞	无	己巳 戊辰 庚子 辛巳	无	立夏 (5, 6)	蛇	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、求医疗病、上官、入学、进人口、竖柱上梁、开市、纳财、牧养、安葬、庆赐、临政、裁制、开仓、纳采、立券交易、赴任、解除、纳畜、出师、选将、举正直、酝酿、求嗣、安抚边境、施恩、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、补垣、修饰垣墙、远回
1929-04-26	一九二九 己巳[蛇]年 三月小十七	周五	无	无	世界知识产权日	己巳 戊辰 辛丑 癸巳	无	立夏 (5, 6)	蛇	金牛座	进人口、纳财、捕捉、取鱼、纳畜	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、招贤、布政事、筑堤防、举正直、酝酿、营建、缮城郭、施恩、宣政事、修饰垣墙、上册、修宫室
1929-04-27	一九二九 己巳[蛇]年 三月小十八	周六	无	无	无	己巳 戊辰 壬寅 乙巳	无	立夏 (5, 6)	蛇	金牛座	出行、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、施恩、安抚边境、宣政事、上册、立券交易、祈福	祭祀、开渠、平治道涂、破屋坏垣、伐木、畋猎、筑堤防、补垣、取鱼、修饰垣墙、针刺、乘船渡水
1929-04-28	一九二九 己巳[蛇]年 三月小十九	周日	无	中岳大帝诞	无	己巳 戊辰 癸卯 丁巳	无	立夏 (5, 6)	蛇	金牛座	塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、修宫室、整手足甲、祈福
1929-04-29	一九二九 己巳[蛇]年 三月小二十	周一	无	子孙娘娘诞	无	己巳 戊辰 甲辰 己巳	无	立夏 (5, 6)	蛇	金牛座	入宅	安床、剃头、求医疗病、上表章、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、启攒、补垣、开仓、鼓铸、颁诏、解除、整容、布政事、筑堤防、求嗣、营建、宣政事、修饰垣墙、上册、塞穴、整手足甲、祈福
1929-04-30	一九二九 己巳[蛇]年 三月小廿一	周二	无	无	无	己巳 戊辰 乙巳 辛巳	无	立夏 (5, 6)	蛇	金牛座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、庆赐、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
