2051-05-11	2051-4-2	30	平	四	辛未 癸巳 丙申	无	小满 (5, 21)	无	无	无	纳采 嫁娶 裁衣 理发 出行 修造 动土 进人口 开市 交易 立券 挂匾 移徙 上梁 栽种 纳畜	伐木 安葬 安床 祭祀 祈福
2051-05-12	2051-4-3	30	定	五	辛未 癸巳 丁酉	无	小满 (5, 21)	无	无	无	开市 交易 立券 挂匾 祭祀 祈福 斋醮 出行 盖屋 起基 修造 动土 定磉 安床 安机械 安葬 破土 启钻 除服 成服 立碑	作灶 嫁娶 移徙 入宅 理发
2051-05-13	2051-4-4	30	执	六	辛未 癸巳 戊戌	无	小满 (5, 21)	无	无	无	嫁娶 纳采 订盟 祭祀 祈福 求嗣 开光 出火 出行 拆卸 动土 修造 进人口 入宅 移徙 安床 解除 挂匾 栽种 破土 谢土 入殓 移柩 安葬	开市 立券 造船 合寿木
2051-05-14	2051-4-5	30	破	日	辛未 癸巳 己亥	无	小满 (5, 21)	母亲节	无	无	祭祀 沐浴 解除 破屋 坏垣 馀事勿取	开光 安葬
2051-05-15	2051-4-6	30	危	一	辛未 癸巳 庚子	无	小满 (5, 21)	无	无	无	订盟 纳采 嫁娶 解除 祭祀 祈福 求嗣 开光 出行 出火 拆卸 入宅 移徙 安床 栽种 纳畜 动土 破土 谢土 安葬 修坟	作灶 开市 经络
2051-05-16	2051-4-7	30	成	二	辛未 癸巳 辛丑	无	小满 (5, 21)	无	无	无	祭祀 祈福 求嗣 开光 订盟 纳采 解除 动土 起基 进人口 开市 交易 立券 纳财 造仓 开池 栽种 纳畜 破土 安葬	安床 上梁 裁衣 入宅 嫁娶
2051-05-17	2051-4-8	30	收	三	辛未 癸巳 壬寅	无	小满 (5, 21)	无	无	无	祭祀 结网 捕捉 馀事勿取	探病 嫁娶 开市
2051-05-18	2051-4-9	30	开	四	辛未 癸巳 癸卯	无	小满 (5, 21)	无	无	无	祭祀 祈福 求嗣 开光 纳采 订盟 嫁娶 出行 动土 破土 会亲友 开市 交易 立券 习艺 拆卸 起基 安碓磑 放水 开池 造仓 开渠 栽种 谢土 启钻 修坟 立碑	入宅 安门 安葬
2051-05-19	2051-4-10	30	闭	五	辛未 癸巳 甲辰	无	小满 (5, 21)	无	无	无	嫁娶 冠笄 祭祀 出行 移徙 入宅 作灶 造车器 补垣 塞穴 开厕 破土 启钻 除服 成服 入殓	盖屋 造桥 安门 安葬 上梁
2051-05-20	2051-4-11	30	建	六	辛未 癸巳 乙巳	无	小满 (5, 21)	无	无	无	祭祀 解除 断蚁 会亲友 馀事勿取	嫁娶 安葬
2051-05-21	2051-4-12	30	除	日	辛未 癸巳 丙午	小满	芒种 (6, 6)	全国助残日	无	无	嫁娶 纳采 订盟 祭祀 祈福 治病 造车器 修造 动土 移徙 入宅	开市 出行 安床 作灶 安葬
2051-05-22	2051-4-13	30	满	一	辛未 癸巳 丁未	无	芒种 (6, 6)	无	无	无	嫁娶 纳采 订盟 会亲友 安机械 结网 冠笄 祭祀 求嗣 进人口 经络	开市 作灶 动土 行丧 安葬
2051-05-23	2051-4-14	30	平	二	辛未 癸巳 戊申	无	芒种 (6, 6)	无	无	无	祭祀 沐浴 移徙 破土 安葬 扫舍 平治道涂	祈福 嫁娶 入宅 安床 作灶
2051-05-24	2051-4-15	30	定	三	辛未 癸巳 己酉	无	芒种 (6, 6)	无	无	无	祭祀 祈福 斋醮 求嗣 安机械 纳畜 移徙 入宅 塑绘 开光 起基 竖柱 上梁 作灶 安门 安香 出火 盖屋 启钻 安葬	动土 破土 嫁娶
2051-05-25	2051-4-16	30	执	四	辛未 癸巳 庚戌	无	芒种 (6, 6)	无	无	无	嫁娶 纳采 订盟 斋醮 开光 祭祀 祈福 求医 治病 会亲友 动土 解除 捕捉 纳畜 牧养 入殓 破土 安葬	移徙 入宅 盖屋 架马
2051-05-26	2051-4-17	30	破	五	辛未 癸巳 辛亥	无	芒种 (6, 6)	无	无	无	祭祀 沐浴 解除 破屋 坏垣 馀事勿取	行丧 安葬
2051-05-27	2051-4-18	30	危	六	辛未 癸巳 壬子	无	芒种 (6, 6)	无	无	无	沐浴 扫舍 馀事勿取	斋醮 开市 嫁娶 作灶
2051-05-28	2051-4-19	30	成	日	辛未 癸巳 癸丑	无	芒种 (6, 6)	无	无	无	开市 交易 立券 安机械 会亲友 开光 求医 治病 盖屋 起基 修造 动土 定磉 竖柱 上梁 安门 作灶 放水 开厕 开池 栽种 牧养 造畜稠 破土 安葬 立碑	嫁娶 出火 移徙 入宅
2051-05-29	2051-4-20	30	收	一	辛未 癸巳 甲寅	无	芒种 (6, 6)	无	无	无	栽种 捕捉 畋猎 馀事勿取	开市 动土 祭祀 斋醮 安葬 探病
2051-05-30	2051-4-21	30	开	二	辛未 癸巳 乙卯	无	芒种 (6, 6)	无	无	无	嫁娶 祭祀 祈福 求嗣 斋醮 订盟 纳采 解除 出行 动土 破土 习艺 针灸 理发 会亲友 起基 修造 竖柱 定磉 安床 拆卸 纳畜 牧养 放水 除服 成服 修坟 立碑	开市 入宅 探病 出火 盖屋
2051-05-31	2051-4-22	30	闭	三	辛未 癸巳 丙辰	无	芒种 (6, 6)	无	无	无	馀事勿取	无
