1984-05-01	一九八四 甲子[鼠]年	四月大	初一	周二	国际劳动节	八殿都市王诞	无	甲子 戊辰 乙未 辛巳	无	立夏 (5, 5)	鼠	金牛座	诸事不宜	诸事不宜
1984-05-12	一九八四 甲子[鼠]年	四月大	十二	周六	无	无	无	甲子 己巳 丙午 癸巳	无	小满 (5, 21)	鼠	金牛座	祭祀、宴会、沐浴、扫舍宇、颁诏、雪冤、整手足甲、裁制、宣政事、覃恩、庆赐、恤孤茕	冠带、修置产室、畋猎、启攒、苫盖、乘船渡水、修宫室、取鱼、开仓、筑堤防
1984-05-13	一九八四 甲子[鼠]年	四月大	十三	周日	无	无	母亲节	甲子 己巳 丁未 乙巳	无	小满 (5, 21)	鼠	金牛座	诸事不宜	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、布政事、纳畜、取鱼、颁诏、纳采、补垣、举正直、安抚边境、整手足甲、鼓铸、宣政事、临政、乘船渡水、酝酿、招贤、解除、施恩、筑堤防、修饰垣墙、整容、选将、营建、远回、出师、搬移
1984-05-14	一九八四 甲子[鼠]年	四月大	十四	周一	无	纯阳祖师诞	无	甲子 己巳 戊申 丁巳	无	小满 (5, 21)	鼠	金牛座	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、布政事、颁诏、补垣、安抚边境、宣政事、乘船渡水、针刺、招贤、筑堤防、塞穴、上册、选将、营建、出师
1984-05-15	一九八四 甲子[鼠]年	四月大	十五	周二	无	钟离祖师诞	无	甲子 己巳 己酉 己巳	无	小满 (5, 21)	鼠	金牛座	祭祀、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、赴任、布政事、纳畜、举正直、雪冤、缮城郭、裁制、临政、酝酿、入宅、祈福、施恩、求嗣、覃恩、修宫室、恤孤茕、搬移	宴会、上表章、修置产室、上册、苫盖
1984-05-16	一九八四 甲子[鼠]年	四月大	十六	周三	无	无	无	甲子 己巳 庚戌 辛巳	无	小满 (5, 21)	鼠	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、出师、纳畜、颁诏、纳采、举正直、安抚边境、雪冤、整手足甲、缮城郭、裁制、宣政事、临政、招贤、祈福、解除、施恩、求嗣、覃恩、上册、庆赐、整容、恤孤茕、选将、营建、搬移	经络、畋猎、取鱼、开仓
1984-05-17	一九八四 甲子[鼠]年	四月大	十七	周四	无	十殿转轮王诞	无	甲子 己巳 辛亥 癸巳	无	小满 (5, 21)	鼠	金牛座	沐浴、破屋坏垣、雪冤、解除、覃恩、恤孤茕	嫁娶、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、取鱼、补垣、整手足甲、鼓铸、酝酿、立券交易、开仓、筑堤防、塞穴、修饰垣墙、整容、修宫室
1984-05-18	一九八四 甲子[鼠]年	四月大	十八	周五	无	紫徽大帝诞	无	甲子 己巳 壬子 乙巳	无	小满 (5, 21)	鼠	金牛座	沐浴、雪冤、恤孤茕、覃恩	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、纳畜、颁诏、补垣、纳采、举正直、修仓库、缮城郭、鼓铸、裁制、宣政事、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、塞穴、求嗣、修饰垣墙、上册、修宫室、营建
1984-05-19	一九八四 甲子[鼠]年	四月大	十九	周六	无	无	无	甲子 己巳 癸丑 丁巳	无	小满 (5, 21)	鼠	金牛座	出行、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、布政事、纳畜、举正直、修仓库、雪冤、缮城郭、裁制、临政、酝酿、立券交易、筑堤防、施恩、覃恩、上册、庆赐、修宫室、恤孤茕	冠带、乘船渡水、整手足甲、取鱼、选将、远回、出师
1984-05-20	一九八四 甲子[鼠]年	四月大	二十	周日	无	眼光圣母诞	无	甲子 己巳 甲寅 己巳	无	小满 (5, 21)	鼠	金牛座	结婚姻、宴会、嫁娶、修造、上表章、进人口、纳财、捕捉、栽种、牧养、安葬、赴任、纳畜、纳采、诉讼、立券交易、入宅、搬移	祭祀、出行、安床、剃头、求医疗病、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、布政事、颁诏、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、出师
1984-05-21	一九八四 甲子[鼠]年	四月大	廿一	周一	无	无	无	甲子 己巳 乙卯 辛巳	小满	芒种 (6, 5)	鼠	双子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、颁诏、纳采、举正直、安抚边境、修仓库、雪冤、缮城郭、裁制、宣政事、临政、立券交易、招贤、祈福、解除、施恩、求嗣、覃恩、上册、庆赐、恤孤茕、修宫室、选将、营建、出师、搬移	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、布政事、整容、整手足甲、鼓铸、取鱼、开仓、入宅、筑堤防、补垣、塞穴、修饰垣墙
1984-05-22	一九八四 甲子[鼠]年	四月大	廿二	周二	无	无	无	甲子 己巳 丙辰 癸巳	无	芒种 (6, 5)	鼠	双子座	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、取鱼、颁诏、纳采、举正直、补垣、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、针刺、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、疗目、搬移
1984-05-23	一九八四 甲子[鼠]年	四月大	廿三	周三	无	无	世界读书日	甲子 己巳 丁巳 乙巳	无	芒种 (6, 5)	鼠	双子座	宴会、上官、进人口、经络、纳财、纳畜、颁诏、举正直、雪冤、裁制、宣政事、临政、酝酿、立券交易、招贤、施恩、覃恩、庆赐、恤孤茕	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、补垣、整手足甲、乘船渡水、开仓、祈福、解除、筑堤防、求嗣、修饰垣墙、上册、整容、营建
1984-05-24	一九八四 甲子[鼠]年	四月大	廿四	周四	无	无	无	甲子 己巳 戊午 丁巳	无	芒种 (6, 5)	鼠	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、裁制、庆赐、整容	嫁娶、上表章、冠带、修置产室、上册、苫盖、修仓库、乘船渡水、纳畜、取鱼、招贤、营建、筑堤防
1984-05-25	一九八四 甲子[鼠]年	四月大	廿五	周五	无	无	无	甲子 己巳 己未 己巳	无	芒种 (6, 5)	鼠	双子座	赴任、入宅	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、布政事、纳畜、取鱼、颁诏、补垣、安抚边境、整手足甲、鼓铸、宣政事、乘船渡水、招贤、筑堤防、修饰垣墙、整容、选将、营建、远回、出师
1984-05-26	一九八四 甲子[鼠]年	四月大	廿六	周六	无	无	无	甲子 己巳 庚申 辛巳	无	芒种 (6, 5)	鼠	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、出师、纳畜、颁诏、纳采、举正直、安抚边境、修仓库、雪冤、整手足甲、缮城郭、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、求嗣、覃恩、修饰垣墙、上册、庆赐、整容、恤孤茕、选将、营建、搬移	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、针刺、布政事、修宫室、鼓铸、取鱼、筑堤防、补垣、塞穴
1984-05-27	一九八四 甲子[鼠]年	四月大	廿七	周日	无	无	上海解放日	甲子 己巳 辛酉 癸巳	无	芒种 (6, 5)	鼠	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、颁诏、举正直、雪冤、整手足甲、缮城郭、裁制、宣政事、临政、招贤、祈福、施恩、求嗣、覃恩、整容、恤孤茕、修宫室、营建、搬移	宴会、修置产室、畋猎、苫盖、取鱼、开仓
1984-05-28	一九八四 甲子[鼠]年	四月大	廿八	周一	无	无	无	甲子 己巳 壬戌 乙巳	无	芒种 (6, 5)	鼠	双子座	沐浴、剃头、求医疗病、上表章、捕捉、整容、整手足甲、解除	出行、嫁娶、开渠、穿井、安葬、修仓库、开仓
1984-05-29	一九八四 甲子[鼠]年	四月大	廿九	周二	无	无	无	甲子 己巳 癸亥 丁巳	无	芒种 (6, 5)	鼠	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、布政事、取鱼、颁诏、补垣、纳采、举正直、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、筑堤防、施恩、求嗣、塞穴、解除、修饰垣墙、上册、庆赐、整容、修宫室、营建
1984-05-30	一九八四 甲子[鼠]年	四月大	三十	周三	无	无	无	甲子 己巳 甲子 己巳	无	芒种 (6, 5)	鼠	双子座	宴会、沐浴、布政事、雪冤、入宅、覃恩、庆赐、恤孤茕	结婚姻、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、纳畜、举正直、修仓库、缮城郭、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、上册、修宫室、营建
1984-05-31	一九八四 甲子[鼠]年	五月小	初一	周四	无	南极长生大帝诞	世界无烟日	甲子 己巳 乙丑 辛巳	无	芒种 (6, 5)	鼠	双子座	祭祀、出行、结婚姻、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、纳畜、颁诏、纳采、举正直、修仓库、雪冤、缮城郭、裁制、宣政事、临政、酝酿、立券交易、招贤、祈福、筑堤防、施恩、解除、求嗣、覃恩、上册、庆赐、恤孤茕、修宫室、营建	冠带、畋猎、乘船渡水、整手足甲、取鱼、远回
